sku,Warehouse1,Warehouse2,Warehouse3,Warehouse4,Warehouse5,Warehouse6,Warehouse7,Warehouse8
100618,0,0,0,0,0,0,0,0
100619,0,0,0,0,0,0,0,0
100621,0,0,0,0,0,0,0,0
100622,0,0,0,0,0,0,0,0
100627,0,0,0,0,0,0,0,0
100629,0,0,0,0,0,0,0,0
100630,0,0,0,0,0,0,0,0
100633,0,0,0,0,0,0,0,0
100636,0,0,0,0,0,0,0,0
100641,0,0,0,0,0,0,0,0
100642,0,0,0,0,0,0,0,0
100647,0,0,0,0,0,0,0,0
100664,0,0,0,0,0,0,0,0
100668,0,0,0,0,0,0,0,0
100670,0,0,0,0,0,0,0,0
100672,0,0,0,0,0,0,0,0
100676,0,0,0,0,0,0,0,0
100679,0,0,0,0,0,0,0,0
100684,0,0,0,0,0,0,0,0
100688,0,0,0,0,0,0,0,0
100692,0,0,0,0,0,0,0,0
100706,0,0,0,0,0,0,0,0
100714,0,0,0,0,0,0,0,0
100722,0,0,0,0,0,0,0,0
100731,0,0,0,0,0,0,0,0
100740,0,0,0,0,0,0,0,0
100781,0,0,0,0,0,0,0,0
100784,0,0,0,0,0,0,0,0
100785,48,48,48,48,48,48,48,48
100786,0,0,0,0,0,0,0,0
100791,0,0,0,0,0,0,0,0
100792,0,0,0,0,0,0,0,0
100794,48,48,48,48,48,48,48,48
100796,0,0,0,0,0,0,0,0
100799,0,0,0,0,0,0,0,0
100801,0,0,0,0,0,0,0,0
100803,0,0,0,0,0,0,0,0
100805,0,0,0,0,0,0,0,0
100807,48,48,48,48,48,48,48,48
100809,0,0,0,0,0,0,0,0
100811,0,0,0,0,0,0,0,0
100812,0,0,0,0,0,0,0,0
100814,0,0,0,0,0,0,0,0
100816,0,0,0,0,0,0,0,0
100817,48,48,48,48,48,48,48,48
100820,0,0,0,0,0,0,0,0
100822,0,0,0,0,0,0,0,0
100826,0,0,0,0,0,0,0,0
100830,0,0,0,0,0,0,0,0
100832,48,48,48,48,48,48,48,48
100841,0,0,0,0,0,0,0,0
100846,0,0,0,0,0,0,0,0
100853,48,48,48,48,48,48,48,48
100854,0,0,0,0,0,0,0,0
100862,0,0,0,0,0,0,0,0
100889,0,0,0,0,0,0,0,0
100900,0,0,0,0,0,0,0,0
100927,0,0,0,0,0,0,0,0
100935,0,0,0,0,0,0,0,0
100937,0,0,0,0,0,0,0,0
100946,0,0,0,0,0,0,0,0
100951,0,0,0,0,0,0,0,0
100955,0,0,0,0,0,0,0,0
100964,0,0,0,0,0,0,0,0
100973,0,0,0,0,0,0,0,0
100982,0,0,0,0,0,0,0,0
100991,0,0,0,0,0,0,0,0
100994,0,0,0,0,0,0,0,0
101008,0,0,0,0,0,0,0,0
101017,0,0,0,0,0,0,0,0
101026,0,0,0,0,0,0,0,0
101035,0,0,0,0,0,0,0,0
101044,0,0,0,0,0,0,0,0
101052,0,0,0,0,0,0,0,0
101053,0,0,0,0,0,0,0,0
101060,0,0,0,0,0,0,0,0
101062,0,0,0,0,0,0,0,0
101071,0,0,0,0,0,0,0,0
101079,0,0,0,0,0,0,0,0
101080,0,0,0,0,0,0,0,0
101087,0,0,0,0,0,0,0,0
101124,0,0,0,0,0,0,0,0
101133,0,0,0,0,0,0,0,0
101142,0,0,0,0,0,0,0,0
101168,0,0,0,0,0,0,0,0
101176,0,0,0,0,0,0,0,0
101184,0,0,0,0,0,0,0,0
101192,0,0,0,0,0,0,0,0
101206,0,0,0,0,0,0,0,0
101214,0,0,0,0,0,0,0,0
101222,0,0,0,0,0,0,0,0
101231,0,0,0,0,0,0,0,0
101240,0,0,0,0,0,0,0,0
101281,0,0,0,0,0,0,0,0
101320,0,0,0,0,0,0,0,0
101338,0,0,0,0,0,0,0,0
101339,0,0,0,0,0,0,0,0
101346,0,0,0,0,0,0,0,0
101354,0,0,0,0,0,0,0,0
101362,0,0,0,0,0,0,0,0
101366,0,0,0,0,0,0,0,0
101389,100,100,100,100,100,0,100,100
101400,0,0,0,0,0,0,0,0
101419,0,0,0,0,0,0,0,0
101435,0,0,0,0,0,0,0,0
101443,0,0,0,0,0,0,0,0
101451,0,0,0,0,0,0,0,0
101455,0,0,0,0,0,0,0,0
101464,0,0,0,0,0,0,0,0
101486,0,0,0,0,0,0,0,0
101491,0,0,0,0,0,0,0,0
101494,0,0,0,0,0,0,0,0
101508,0,0,0,0,0,0,0,0
101516,0,0,0,0,0,0,0,0
101524,0,0,0,0,0,0,0,0
101532,0,0,0,0,0,0,0,0
101534,0,0,0,0,0,0,0,0
101543,0,0,0,0,0,0,0,0
101552,0,0,0,0,0,0,0,0
101559,0,0,0,0,0,0,0,0
101561,0,0,0,0,0,0,0,0
101567,0,0,0,0,0,0,0,0
101570,0,0,0,0,0,0,0,0
101575,0,0,0,0,0,0,0,0
101589,0,0,0,0,0,0,0,0
101591,0,0,0,0,0,0,0,0
101605,0,0,0,0,0,0,0,0
101614,0,0,0,0,0,0,0,0
101632,0,0,0,0,0,0,0,0
101648,0,0,0,0,0,0,0,0
101656,0,0,0,0,0,0,0,0
101664,0,0,0,0,0,0,0,0
101669,0,0,0,0,0,0,0,0
101678,0,0,0,0,0,0,0,0
101680,0,0,0,0,0,0,0,0
101687,0,0,0,0,0,0,0,0
101696,0,0,0,0,0,0,0,0
101703,0,0,0,0,0,0,0,0
101729,0,0,0,0,0,0,0,0
101737,0,0,0,0,0,0,0,0
101745,0,0,0,0,0,0,0,0
101753,0,0,0,0,0,0,0,0
